2025-06-29 18:40:49,718 |     INFO | AIOS_Runtime_AIOS_20250629_184049_81e7fc9b | runtime_intelligence::system_init | Runtime Intelligence System initialized | Context: {"session_id": "AIOS_20250629_184049_81e7fc9b", "base_path": "c:\\dev\\AIOS", "start_time": "2025-06-29T18:40:49.683580"}
2025-06-29 18:40:49,724 |     INFO | AIOS_Runtime_AIOS_20250629_184049_81e7fc9b | consciousness_test::module_registration | Module consciousness_test registered for logging | Context: {"logging_mode": "full", "consciousness_tracking": true}
2025-06-29 18:40:49,724 |     INFO | AIOS_Runtime_AIOS_20250629_184049_81e7fc9b | consciousness_test::integration_test | Logging integration test started | Context: {}
2025-06-29 18:40:49,724 |     INFO | AIOS_Runtime_AIOS_20250629_184049_81e7fc9b | consciousness_test::consciousness_emergence | Consciousness emergence detected: level 0.100 | Context: {"test_phase": "emergence_detection"}
2025-06-29 18:40:49,819 |     INFO | AIOS_Runtime_AIOS_20250629_184049_81e7fc9b | consciousness_test::consciousness_emergence | Consciousness emergence detected: level 0.300 | Context: {"test_phase": "emergence_detection"}
2025-06-29 18:40:49,921 |     INFO | AIOS_Runtime_AIOS_20250629_184049_81e7fc9b | consciousness_test::consciousness_emergence | Consciousness emergence detected: level 0.500 | Context: {"test_phase": "emergence_detection"}
2025-06-29 18:40:50,021 |     INFO | AIOS_Runtime_AIOS_20250629_184049_81e7fc9b | consciousness_test::consciousness_emergence | Consciousness emergence detected: level 0.700 | Context: {"test_phase": "emergence_detection"}
2025-06-29 18:40:50,126 |     INFO | AIOS_Runtime_AIOS_20250629_184049_81e7fc9b | consciousness_test::consciousness_emergence | Consciousness emergence detected: level 0.850 | Context: {"test_phase": "emergence_detection"}
2025-06-29 18:40:50,227 |     INFO | AIOS_Runtime_AIOS_20250629_184049_81e7fc9b | consciousness_test::consciousness_emergence | Consciousness emergence detected: level 0.950 | Context: {"test_phase": "emergence_detection"}
2025-06-29 18:40:50,328 |     INFO | AIOS_Runtime_AIOS_20250629_184049_81e7fc9b | consciousness_test::quantum_coherence | Quantum coherence: 0.200 at 432.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 18:40:50,376 |     INFO | AIOS_Runtime_AIOS_20250629_184049_81e7fc9b | consciousness_test::quantum_coherence | Quantum coherence: 0.200 at 528.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 18:40:50,427 |     INFO | AIOS_Runtime_AIOS_20250629_184049_81e7fc9b | consciousness_test::quantum_coherence | Quantum coherence: 0.200 at 741.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 18:40:50,481 |     INFO | AIOS_Runtime_AIOS_20250629_184049_81e7fc9b | consciousness_test::quantum_coherence | Quantum coherence: 0.200 at 963.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 18:40:50,531 |     INFO | AIOS_Runtime_AIOS_20250629_184049_81e7fc9b | consciousness_test::quantum_coherence | Quantum coherence: 0.600 at 432.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 18:40:50,583 |     INFO | AIOS_Runtime_AIOS_20250629_184049_81e7fc9b | consciousness_test::quantum_coherence | Quantum coherence: 0.600 at 528.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 18:40:50,634 |     INFO | AIOS_Runtime_AIOS_20250629_184049_81e7fc9b | consciousness_test::quantum_coherence | Quantum coherence: 0.600 at 741.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 18:40:50,683 |     INFO | AIOS_Runtime_AIOS_20250629_184049_81e7fc9b | consciousness_test::quantum_coherence | Quantum coherence: 0.600 at 963.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 18:40:50,731 |     INFO | AIOS_Runtime_AIOS_20250629_184049_81e7fc9b | consciousness_test::quantum_coherence | Quantum coherence: 0.800 at 432.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 18:40:50,786 |     INFO | AIOS_Runtime_AIOS_20250629_184049_81e7fc9b | consciousness_test::quantum_coherence | Quantum coherence: 0.800 at 528.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 18:40:50,837 |     INFO | AIOS_Runtime_AIOS_20250629_184049_81e7fc9b | consciousness_test::quantum_coherence | Quantum coherence: 0.800 at 741.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 18:40:50,888 |     INFO | AIOS_Runtime_AIOS_20250629_184049_81e7fc9b | consciousness_test::quantum_coherence | Quantum coherence: 0.800 at 963.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 18:40:50,937 |     INFO | AIOS_Runtime_AIOS_20250629_184049_81e7fc9b | consciousness_test::quantum_coherence | Quantum coherence: 0.900 at 432.0Hz (stable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 18:40:50,986 |     INFO | AIOS_Runtime_AIOS_20250629_184049_81e7fc9b | consciousness_test::quantum_coherence | Quantum coherence: 0.900 at 528.0Hz (stable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 18:40:51,040 |     INFO | AIOS_Runtime_AIOS_20250629_184049_81e7fc9b | consciousness_test::quantum_coherence | Quantum coherence: 0.900 at 741.0Hz (stable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 18:40:51,092 |     INFO | AIOS_Runtime_AIOS_20250629_184049_81e7fc9b | consciousness_test::quantum_coherence | Quantum coherence: 0.900 at 963.0Hz (stable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 18:40:51,139 |     INFO | AIOS_Runtime_AIOS_20250629_184049_81e7fc9b | consciousness_test::quantum_coherence | Quantum coherence: 0.950 at 432.0Hz (stable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 18:40:51,189 |     INFO | AIOS_Runtime_AIOS_20250629_184049_81e7fc9b | consciousness_test::quantum_coherence | Quantum coherence: 0.950 at 528.0Hz (stable) | Context: {"test_phase": "coherence_monitoring"}
