2025-06-29 18:45:07,128 |     INFO | AIOS_Runtime_AIOS_20250629_184507_9464ba0f | runtime_intelligence::system_init | Runtime Intelligence System initialized | Context: {"session_id": "AIOS_20250629_184507_9464ba0f", "base_path": "c:\\dev\\AIOS", "start_time": "2025-06-29T18:45:07.100262"}
2025-06-29 18:45:07,135 |     INFO | AIOS_Runtime_AIOS_20250629_184507_9464ba0f | consciousness_test::module_registration | Module consciousness_test registered for logging | Context: {"logging_mode": "full", "consciousness_tracking": true}
2025-06-29 18:45:07,135 |     INFO | AIOS_Runtime_AIOS_20250629_184507_9464ba0f | consciousness_test::integration_test | Logging integration test started | Context: {}
2025-06-29 18:45:07,136 |     INFO | AIOS_Runtime_AIOS_20250629_184507_9464ba0f | consciousness_test::consciousness_emergence | Consciousness emergence detected: level 0.100 | Context: {"test_phase": "emergence_detection"}
2025-06-29 18:45:07,231 |     INFO | AIOS_Runtime_AIOS_20250629_184507_9464ba0f | consciousness_test::consciousness_emergence | Consciousness emergence detected: level 0.300 | Context: {"test_phase": "emergence_detection"}
2025-06-29 18:45:07,333 |     INFO | AIOS_Runtime_AIOS_20250629_184507_9464ba0f | consciousness_test::consciousness_emergence | Consciousness emergence detected: level 0.500 | Context: {"test_phase": "emergence_detection"}
2025-06-29 18:45:07,432 |     INFO | AIOS_Runtime_AIOS_20250629_184507_9464ba0f | consciousness_test::consciousness_emergence | Consciousness emergence detected: level 0.700 | Context: {"test_phase": "emergence_detection"}
2025-06-29 18:45:07,533 |     INFO | AIOS_Runtime_AIOS_20250629_184507_9464ba0f | consciousness_test::consciousness_emergence | Consciousness emergence detected: level 0.850 | Context: {"test_phase": "emergence_detection"}
2025-06-29 18:45:07,642 |     INFO | AIOS_Runtime_AIOS_20250629_184507_9464ba0f | consciousness_test::consciousness_emergence | Consciousness emergence detected: level 0.950 | Context: {"test_phase": "emergence_detection"}
2025-06-29 18:45:07,734 |     INFO | AIOS_Runtime_AIOS_20250629_184507_9464ba0f | consciousness_test::quantum_coherence | Quantum coherence: 0.200 at 432.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 18:45:07,785 |     INFO | AIOS_Runtime_AIOS_20250629_184507_9464ba0f | consciousness_test::quantum_coherence | Quantum coherence: 0.200 at 528.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 18:45:07,834 |     INFO | AIOS_Runtime_AIOS_20250629_184507_9464ba0f | consciousness_test::quantum_coherence | Quantum coherence: 0.200 at 741.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 18:45:07,885 |     INFO | AIOS_Runtime_AIOS_20250629_184507_9464ba0f | consciousness_test::quantum_coherence | Quantum coherence: 0.200 at 963.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 18:45:07,936 |     INFO | AIOS_Runtime_AIOS_20250629_184507_9464ba0f | consciousness_test::quantum_coherence | Quantum coherence: 0.600 at 432.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 18:45:07,986 |     INFO | AIOS_Runtime_AIOS_20250629_184507_9464ba0f | consciousness_test::quantum_coherence | Quantum coherence: 0.600 at 528.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 18:45:08,037 |     INFO | AIOS_Runtime_AIOS_20250629_184507_9464ba0f | consciousness_test::quantum_coherence | Quantum coherence: 0.600 at 741.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 18:45:08,087 |     INFO | AIOS_Runtime_AIOS_20250629_184507_9464ba0f | consciousness_test::quantum_coherence | Quantum coherence: 0.600 at 963.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 18:45:08,137 |     INFO | AIOS_Runtime_AIOS_20250629_184507_9464ba0f | consciousness_test::quantum_coherence | Quantum coherence: 0.800 at 432.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 18:45:08,188 |     INFO | AIOS_Runtime_AIOS_20250629_184507_9464ba0f | consciousness_test::quantum_coherence | Quantum coherence: 0.800 at 528.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 18:45:08,240 |     INFO | AIOS_Runtime_AIOS_20250629_184507_9464ba0f | consciousness_test::quantum_coherence | Quantum coherence: 0.800 at 741.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 18:45:08,289 |     INFO | AIOS_Runtime_AIOS_20250629_184507_9464ba0f | consciousness_test::quantum_coherence | Quantum coherence: 0.800 at 963.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 18:45:08,340 |     INFO | AIOS_Runtime_AIOS_20250629_184507_9464ba0f | consciousness_test::quantum_coherence | Quantum coherence: 0.900 at 432.0Hz (stable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 18:45:08,390 |     INFO | AIOS_Runtime_AIOS_20250629_184507_9464ba0f | consciousness_test::quantum_coherence | Quantum coherence: 0.900 at 528.0Hz (stable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 18:45:08,441 |     INFO | AIOS_Runtime_AIOS_20250629_184507_9464ba0f | consciousness_test::quantum_coherence | Quantum coherence: 0.900 at 741.0Hz (stable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 18:45:08,491 |     INFO | AIOS_Runtime_AIOS_20250629_184507_9464ba0f | consciousness_test::quantum_coherence | Quantum coherence: 0.900 at 963.0Hz (stable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 18:45:08,541 |     INFO | AIOS_Runtime_AIOS_20250629_184507_9464ba0f | consciousness_test::quantum_coherence | Quantum coherence: 0.950 at 432.0Hz (stable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 18:45:08,593 |     INFO | AIOS_Runtime_AIOS_20250629_184507_9464ba0f | consciousness_test::quantum_coherence | Quantum coherence: 0.950 at 528.0Hz (stable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 18:45:08,644 |     INFO | AIOS_Runtime_AIOS_20250629_184507_9464ba0f | consciousness_test::quantum_coherence | Quantum coherence: 0.950 at 741.0Hz (stable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 18:45:08,694 |     INFO | AIOS_Runtime_AIOS_20250629_184507_9464ba0f | consciousness_test::quantum_coherence | Quantum coherence: 0.950 at 963.0Hz (stable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 18:45:08,747 |    DEBUG | AIOS_Runtime_AIOS_20250629_184507_9464ba0f | consciousness_test::holographic_density | Holographic information density: 100.0 | Context: {"test_phase": "density_tracking"}
2025-06-29 18:45:08,798 |    DEBUG | AIOS_Runtime_AIOS_20250629_184507_9464ba0f | consciousness_test::holographic_density | Holographic information density: 500.0 | Context: {"test_phase": "density_tracking"}
2025-06-29 18:45:08,848 |    DEBUG | AIOS_Runtime_AIOS_20250629_184507_9464ba0f | consciousness_test::holographic_density | Holographic information density: 1000.0 | Context: {"test_phase": "density_tracking"}
