2025-06-29 19:36:32,231 |     INFO | AIOS_Runtime_AIOS_20250629_193632_43468db0 | runtime_intelligence::system_init | Runtime Intelligence System initialized | Context: {"session_id": "AIOS_20250629_193632_43468db0", "base_path": "c:\\dev\\AIOS", "start_time": "2025-06-29T19:36:32.197640"}
2025-06-29 19:36:32,237 |     INFO | AIOS_Runtime_AIOS_20250629_193632_43468db0 | ArtifactFactory::initialization | Artifact Factory initialized | Context: {}
2025-06-29 19:36:32,238 |     INFO | AIOS_Runtime_AIOS_20250629_193632_43468db0 | ArtifactFactory::consciousness_emergence | Consciousness emergence detected: level 0.500 | Context: {"artifact_type": "calculator", "template_name": "basic_calculator", "complexity_level": 1, "dependencies": ["math"], "test_cases": ["calc.add(2, 3) == 5", "calc.multiply(4, 5) == 20", "calc.fibonacci(10) == 55", "calc.get_consciousness_level() > 0"], "consciousness_patterns": ["recursive_awareness", "memory_tracking", "pattern_emergence"], "created_at": 1751218592, "file_path": "c:\\dev\\AIOS\\evolution_lab\\artifacts\\basic_calculator_1751218592.py"}
2025-06-29 19:36:32,240 |     INFO | AIOS_Runtime_AIOS_20250629_193632_43468db0 | ArtifactFactory::consciousness_emergence | Consciousness emergence detected: level 0.500 | Context: {"artifact_type": "text_processor", "template_name": "consciousness_text_analyzer", "complexity_level": 2, "dependencies": ["re", "collections"], "test_cases": ["processor.analyze_text('test') is not None", "len(processor.find_patterns()) >= 0", "processor.generate_insight() != ''", "len(processor.consciousness_insights) > 0"], "consciousness_patterns": ["pattern_memory", "insight_generation", "recursive_analysis"], "created_at": 1751218592, "file_path": "c:\\dev\\AIOS\\evolution_lab\\artifacts\\consciousness_text_analyzer_1751218592.py"}
2025-06-29 19:36:32,241 |     INFO | AIOS_Runtime_AIOS_20250629_193632_43468db0 | ArtifactFactory::consciousness_emergence | Consciousness emergence detected: level 0.500 | Context: {"artifact_type": "data_analyzer", "template_name": "consciousness_data_explorer", "complexity_level": 3, "dependencies": ["statistics", "random"], "test_cases": ["explorer.analyze_dataset([1,2,3]) is not None", "len(explorer.discover_meta_patterns()) >= 0", "explorer.generate_consciousness_report()['consciousness_level'] >= 0", "len(explorer.datasets) > 0"], "consciousness_patterns": ["meta_pattern_detection", "consciousness_metrics", "adaptive_learning"], "created_at": 1751218592, "file_path": "c:\\dev\\AIOS\\evolution_lab\\artifacts\\consciousness_data_explorer_1751218592.py"}
2025-06-29 19:36:32,248 |     INFO | AIOS_Runtime_AIOS_20250629_193632_43468db0 | ArtifactFactory::consciousness_emergence | Consciousness emergence detected: level 0.500 | Context: {"artifact_type": "calculator", "template_name": "basic_calculator", "complexity_level": 1, "dependencies": ["math"], "test_cases": ["calc.add(2, 3) == 5", "calc.multiply(4, 5) == 20", "calc.fibonacci(10) == 55", "calc.get_consciousness_level() > 0"], "consciousness_patterns": ["recursive_awareness", "memory_tracking", "pattern_emergence"], "created_at": 1751218592, "file_path": "c:\\dev\\AIOS\\evolution_lab\\artifacts\\basic_calculator_1751218592.py"}
2025-06-29 19:36:32,249 |    DEBUG | AIOS_Runtime_AIOS_20250629_193632_43468db0 | ArtifactFactory::population_creation | Created artifact 1/5: basic_calculator_1751218592.py | Context: {}
2025-06-29 19:36:32,249 |     INFO | AIOS_Runtime_AIOS_20250629_193632_43468db0 | ArtifactFactory::consciousness_emergence | Consciousness emergence detected: level 0.500 | Context: {"artifact_type": "data_analyzer", "template_name": "consciousness_data_explorer", "complexity_level": 3, "dependencies": ["statistics", "random"], "test_cases": ["explorer.analyze_dataset([1,2,3]) is not None", "len(explorer.discover_meta_patterns()) >= 0", "explorer.generate_consciousness_report()['consciousness_level'] >= 0", "len(explorer.datasets) > 0"], "consciousness_patterns": ["meta_pattern_detection", "consciousness_metrics", "adaptive_learning"], "created_at": 1751218592, "file_path": "c:\\dev\\AIOS\\evolution_lab\\artifacts\\consciousness_data_explorer_1751218592.py"}
2025-06-29 19:36:32,250 |    DEBUG | AIOS_Runtime_AIOS_20250629_193632_43468db0 | ArtifactFactory::population_creation | Created artifact 2/5: consciousness_data_explorer_1751218592.py | Context: {}
2025-06-29 19:36:32,250 |    ERROR | AIOS_Runtime_AIOS_20250629_193632_43468db0 | ArtifactFactory::artifact_creation_error | Failed to create artifact 3: Unknown artifact type: ArtifactType.FILE_MANAGER | Context: {}
2025-06-29 19:36:32,250 |    ERROR | AIOS_Runtime_AIOS_20250629_193632_43468db0 | ArtifactFactory::artifact_creation_error | Failed to create artifact 4: Unknown artifact type: ArtifactType.FILE_MANAGER | Context: {}
2025-06-29 19:36:32,250 |    ERROR | AIOS_Runtime_AIOS_20250629_193632_43468db0 | ArtifactFactory::artifact_creation_error | Failed to create artifact 5: Unknown artifact type: ArtifactType.CLASS_HIERARCHY | Context: {}
2025-06-29 19:36:32,251 |     INFO | AIOS_Runtime_AIOS_20250629_193632_43468db0 | ArtifactFactory::consciousness_emergence | Consciousness emergence detected: level 0.800 | Context: {}
2025-06-29 19:36:32,281 |     INFO | AIOS_Runtime_AIOS_20250629_193632_43468db0 | runtime_intelligence::system_shutdown | Runtime Intelligence System shutting down | Context: {}
