2025-06-29 20:06:52,196 |     INFO | AIOS_Runtime_AIOS_20250629_200652_2aed5aab | runtime_intelligence::system_init | Runtime Intelligence System initialized | Context: {"session_id": "AIOS_20250629_200652_2aed5aab", "base_path": "c:\\dev\\AIOS", "start_time": "2025-06-29T20:06:52.160861"}
2025-06-29 20:06:52,203 |     INFO | AIOS_Runtime_AIOS_20250629_200652_2aed5aab | consciousness_test::module_registration | Module consciousness_test registered for logging | Context: {"logging_mode": "full", "consciousness_tracking": true}
2025-06-29 20:06:52,204 |     INFO | AIOS_Runtime_AIOS_20250629_200652_2aed5aab | consciousness_test::integration_test | Logging integration test started | Context: {}
2025-06-29 20:06:52,204 |     INFO | AIOS_Runtime_AIOS_20250629_200652_2aed5aab | consciousness_test::consciousness_emergence | Consciousness emergence detected: level 0.100 | Context: {"test_phase": "emergence_detection"}
2025-06-29 20:06:52,300 |     INFO | AIOS_Runtime_AIOS_20250629_200652_2aed5aab | consciousness_test::consciousness_emergence | Consciousness emergence detected: level 0.300 | Context: {"test_phase": "emergence_detection"}
2025-06-29 20:06:52,401 |     INFO | AIOS_Runtime_AIOS_20250629_200652_2aed5aab | consciousness_test::consciousness_emergence | Consciousness emergence detected: level 0.500 | Context: {"test_phase": "emergence_detection"}
2025-06-29 20:06:52,517 |     INFO | AIOS_Runtime_AIOS_20250629_200652_2aed5aab | consciousness_test::consciousness_emergence | Consciousness emergence detected: level 0.700 | Context: {"test_phase": "emergence_detection"}
2025-06-29 20:06:52,601 |     INFO | AIOS_Runtime_AIOS_20250629_200652_2aed5aab | consciousness_test::consciousness_emergence | Consciousness emergence detected: level 0.850 | Context: {"test_phase": "emergence_detection"}
2025-06-29 20:06:52,706 |     INFO | AIOS_Runtime_AIOS_20250629_200652_2aed5aab | consciousness_test::consciousness_emergence | Consciousness emergence detected: level 0.950 | Context: {"test_phase": "emergence_detection"}
2025-06-29 20:06:52,810 |     INFO | AIOS_Runtime_AIOS_20250629_200652_2aed5aab | consciousness_test::quantum_coherence | Quantum coherence: 0.200 at 432.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 20:06:52,860 |     INFO | AIOS_Runtime_AIOS_20250629_200652_2aed5aab | consciousness_test::quantum_coherence | Quantum coherence: 0.200 at 528.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 20:06:52,909 |     INFO | AIOS_Runtime_AIOS_20250629_200652_2aed5aab | consciousness_test::quantum_coherence | Quantum coherence: 0.200 at 741.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
