2025-06-29 21:11:42,782 |     INFO | AIOS_Runtime_AIOS_20250629_211142_0d847d6e | runtime_intelligence::system_init | Runtime Intelligence System initialized | Context: {"session_id": "AIOS_20250629_211142_0d847d6e", "base_path": "c:\\dev\\AIOS", "start_time": "2025-06-29T21:11:42.749768"}
2025-06-29 21:11:42,789 |     INFO | AIOS_Runtime_AIOS_20250629_211142_0d847d6e | consciousness_test::module_registration | Module consciousness_test registered for logging | Context: {"logging_mode": "full", "consciousness_tracking": true}
2025-06-29 21:11:42,790 |     INFO | AIOS_Runtime_AIOS_20250629_211142_0d847d6e | consciousness_test::integration_test | Logging integration test started | Context: {}
2025-06-29 21:11:42,791 |     INFO | AIOS_Runtime_AIOS_20250629_211142_0d847d6e | consciousness_test::consciousness_emergence | Consciousness emergence detected: level 0.100 | Context: {"test_phase": "emergence_detection"}
2025-06-29 21:11:42,885 |     INFO | AIOS_Runtime_AIOS_20250629_211142_0d847d6e | consciousness_test::consciousness_emergence | Consciousness emergence detected: level 0.300 | Context: {"test_phase": "emergence_detection"}
2025-06-29 21:11:42,986 |     INFO | AIOS_Runtime_AIOS_20250629_211142_0d847d6e | consciousness_test::consciousness_emergence | Consciousness emergence detected: level 0.500 | Context: {"test_phase": "emergence_detection"}
2025-06-29 21:11:43,087 |     INFO | AIOS_Runtime_AIOS_20250629_211142_0d847d6e | consciousness_test::consciousness_emergence | Consciousness emergence detected: level 0.700 | Context: {"test_phase": "emergence_detection"}
2025-06-29 21:11:43,187 |     INFO | AIOS_Runtime_AIOS_20250629_211142_0d847d6e | consciousness_test::consciousness_emergence | Consciousness emergence detected: level 0.850 | Context: {"test_phase": "emergence_detection"}
2025-06-29 21:11:43,289 |     INFO | AIOS_Runtime_AIOS_20250629_211142_0d847d6e | consciousness_test::consciousness_emergence | Consciousness emergence detected: level 0.950 | Context: {"test_phase": "emergence_detection"}
2025-06-29 21:11:43,389 |     INFO | AIOS_Runtime_AIOS_20250629_211142_0d847d6e | consciousness_test::quantum_coherence | Quantum coherence: 0.200 at 432.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 21:11:43,439 |     INFO | AIOS_Runtime_AIOS_20250629_211142_0d847d6e | consciousness_test::quantum_coherence | Quantum coherence: 0.200 at 528.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
