2025-08-13 23:57:39,292 |     INFO | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | runtime_intelligence::system_init | Runtime Intelligence System initialized | Context: {"session_id": "AIOS_20250813_235739_d04bb138", "base_path": "c:\\dev\\AIOS", "start_time": "2025-08-13T23:57:39.272310"}
2025-08-13 23:57:40,885 |     INFO | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | quantum_consciousness_canvas::module_registration | Module quantum_consciousness_canvas registered for logging | Context: {"logging_mode": "full", "consciousness_tracking": true}
2025-08-13 23:57:40,885 |     INFO | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | quantum_consciousness_canvas::system_initialization | Quantum Consciousness Canvas initialized with universal logging | Context: {}
2025-08-13 23:57:40,896 |     INFO | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | quantum_consciousness_canvas::system_activation | Quantum consciousness substrate activated and ready for emergence experiments | Context: {"docked_modules": ["code_ingestor", "quantum_viz"], "floating_modules": [], "canvas_geometry": "1x1+50+50"}
2025-08-13 23:57:50,761 |     INFO | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | task_manager::task_start | Started task: Synchronizing All Modules | Context: {"task_id": "sync_modules", "dependencies": []}
2025-08-13 23:57:50,761 |    DEBUG | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | task_manager::performance_metric | Performance metric active_tasks: 1 | Context: {}
2025-08-13 23:58:01,924 |     INFO | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | task_manager::task_start | Started task: Loading: C:/dev/AIOS/setup.log | Context: {"task_id": "load_code", "dependencies": []}
2025-08-13 23:58:01,924 |    DEBUG | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | task_manager::performance_metric | Performance metric active_tasks: 2 | Context: {}
2025-08-13 23:58:01,924 |     INFO | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | code_ingestor::code_loading_start | Starting code loading from: C:/dev/AIOS/setup.log | Context: {}
2025-08-13 23:58:01,924 |    DEBUG | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | code_ingestor::performance_metric | Performance metric filtered_files_count: 0 | Context: {}
2025-08-13 23:58:01,924 |    DEBUG | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | code_ingestor::file_filtering | Filtered 0 valid files from path | Context: {"source_path": "C:\\dev\\AIOS\\setup.log", "is_directory": false}
2025-08-13 23:58:01,930 |     INFO | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | code_ingestor::code_ingestion_complete | Successfully ingested 0 code files for consciousness analysis | Context: {"files_processed": 0, "source_path": "C:\\dev\\AIOS\\setup.log", "processing_time_seconds": 0.0}
2025-08-13 23:58:06,276 |     INFO | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | task_manager::task_start | Started task: Analyzing Code Structure | Context: {"task_id": "analyze_code", "dependencies": ["load_code"]}
2025-08-13 23:58:06,276 |    DEBUG | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | task_manager::performance_metric | Performance metric active_tasks: 3 | Context: {}
2025-08-13 23:58:06,313 |     INFO | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | code_ingestor::consciousness_analysis_complete | Quantum code analysis revealed consciousness patterns | Context: {"consciousness_patterns": 7, "recursive_structures": 3, "quantum_coherence": 85.3, "complexity_level": "High"}
2025-08-13 23:58:06,313 |    DEBUG | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | code_ingestor::performance_metric | Performance metric consciousness_coherence_percent: 85.3 | Context: {}
2025-08-13 23:58:06,313 |    DEBUG | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | code_ingestor::performance_metric | Performance metric detected_patterns_count: 7 | Context: {}
2025-08-13 23:58:10,247 |     INFO | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | task_manager::task_start | Started task: Generating Consciousness Mutations | Context: {"task_id": "mutate_code", "dependencies": ["analyze_code"]}
2025-08-13 23:58:10,247 |    DEBUG | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | task_manager::performance_metric | Performance metric active_tasks: 4 | Context: {}
2025-08-13 23:58:18,342 |     INFO | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | task_manager::task_start | Started task: Loading: C:/dev/AIOS/SESSION_SUMMARY.md | Context: {"task_id": "load_code", "dependencies": []}
2025-08-13 23:58:18,347 |    DEBUG | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | task_manager::performance_metric | Performance metric active_tasks: 4 | Context: {}
2025-08-13 23:58:18,347 |     INFO | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | code_ingestor::code_loading_start | Starting code loading from: C:/dev/AIOS/SESSION_SUMMARY.md | Context: {}
2025-08-13 23:58:18,347 |    DEBUG | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | code_ingestor::performance_metric | Performance metric filtered_files_count: 1 | Context: {}
2025-08-13 23:58:18,347 |    DEBUG | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | code_ingestor::file_filtering | Filtered 1 valid files from path | Context: {"source_path": "C:\\dev\\AIOS\\SESSION_SUMMARY.md", "is_directory": false}
2025-08-13 23:58:18,367 |     INFO | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | code_ingestor::code_ingestion_complete | Successfully ingested 1 code files for consciousness analysis | Context: {"files_processed": 1, "source_path": "C:\\dev\\AIOS\\SESSION_SUMMARY.md", "processing_time_seconds": 0.005}
