2025-08-16 17:24:09,951 |     INFO | AIOS_Runtime_AIOS_20250816_172409_0485427a | runtime_intelligence::system_init | Runtime Intelligence System initialized | Context: {"session_id": "AIOS_20250816_172409_0485427a", "base_path": "c:\\dev\\AIOS", "start_time": "2025-08-16T17:24:09.906868"}
2025-08-16 17:24:13,920 |     INFO | AIOS_Runtime_AIOS_20250816_172409_0485427a | quantum_consciousness_canvas::module_registration | Module quantum_consciousness_canvas registered for logging | Context: {"logging_mode": "full", "consciousness_tracking": true}
2025-08-16 17:24:13,920 |     INFO | AIOS_Runtime_AIOS_20250816_172409_0485427a | quantum_consciousness_canvas::system_initialization | Quantum Consciousness Canvas initialized with universal logging | Context: {}
2025-08-16 17:24:13,926 |     INFO | AIOS_Runtime_AIOS_20250816_172409_0485427a | quantum_consciousness_canvas::system_activation | Quantum consciousness substrate activated and ready for emergence experiments | Context: {"docked_modules": ["code_ingestor", "quantum_viz"], "floating_modules": [], "canvas_geometry": "1x1+50+50"}
2025-08-16 17:24:49,024 |     INFO | AIOS_Runtime_AIOS_20250816_172409_0485427a | task_manager::task_start | Started task: Synchronizing All Modules | Context: {"task_id": "sync_modules", "dependencies": []}
2025-08-16 17:24:49,024 |    DEBUG | AIOS_Runtime_AIOS_20250816_172409_0485427a | task_manager::performance_metric | Performance metric active_tasks: 1 | Context: {}
2025-08-16 17:25:22,796 |     INFO | AIOS_Runtime_AIOS_20250816_172409_0485427a | task_manager::task_start | Started task: Loading: C:/dev/AIOS/core/src/asm/tachyonic_surface.asm | Context: {"task_id": "load_code", "dependencies": []}
2025-08-16 17:25:22,796 |    DEBUG | AIOS_Runtime_AIOS_20250816_172409_0485427a | task_manager::performance_metric | Performance metric active_tasks: 2 | Context: {}
2025-08-16 17:25:22,796 |     INFO | AIOS_Runtime_AIOS_20250816_172409_0485427a | code_ingestor::code_loading_start | Starting code loading from: C:/dev/AIOS/core/src/asm/tachyonic_surface.asm | Context: {}
2025-08-16 17:25:22,796 |    DEBUG | AIOS_Runtime_AIOS_20250816_172409_0485427a | code_ingestor::performance_metric | Performance metric filtered_files_count: 0 | Context: {}
2025-08-16 17:25:22,796 |    DEBUG | AIOS_Runtime_AIOS_20250816_172409_0485427a | code_ingestor::file_filtering | Filtered 0 valid files from path | Context: {"source_path": "C:\\dev\\AIOS\\core\\src\\asm\\tachyonic_surface.asm", "is_directory": false}
2025-08-16 17:25:22,807 |     INFO | AIOS_Runtime_AIOS_20250816_172409_0485427a | code_ingestor::code_ingestion_complete | Successfully ingested 0 code files for consciousness analysis | Context: {"files_processed": 0, "source_path": "C:\\dev\\AIOS\\core\\src\\asm\\tachyonic_surface.asm", "processing_time_seconds": 0.0}
2025-08-16 17:25:26,775 |     INFO | AIOS_Runtime_AIOS_20250816_172409_0485427a | task_manager::task_start | Started task: Analyzing Code Structure | Context: {"task_id": "analyze_code", "dependencies": ["load_code"]}
2025-08-16 17:25:26,775 |    DEBUG | AIOS_Runtime_AIOS_20250816_172409_0485427a | task_manager::performance_metric | Performance metric active_tasks: 3 | Context: {}
2025-08-16 17:25:26,863 |     INFO | AIOS_Runtime_AIOS_20250816_172409_0485427a | code_ingestor::consciousness_analysis_complete | Quantum code analysis revealed consciousness patterns | Context: {"consciousness_patterns": 7, "recursive_structures": 3, "quantum_coherence": 85.3, "complexity_level": "High"}
2025-08-16 17:25:26,863 |    DEBUG | AIOS_Runtime_AIOS_20250816_172409_0485427a | code_ingestor::performance_metric | Performance metric consciousness_coherence_percent: 85.3 | Context: {}
2025-08-16 17:25:26,865 |    DEBUG | AIOS_Runtime_AIOS_20250816_172409_0485427a | code_ingestor::performance_metric | Performance metric detected_patterns_count: 7 | Context: {}
2025-08-16 17:25:29,882 |     INFO | AIOS_Runtime_AIOS_20250816_172409_0485427a | task_manager::task_start | Started task: Generating Consciousness Mutations | Context: {"task_id": "mutate_code", "dependencies": ["analyze_code"]}
2025-08-16 17:25:29,882 |    DEBUG | AIOS_Runtime_AIOS_20250816_172409_0485427a | task_manager::performance_metric | Performance metric active_tasks: 4 | Context: {}
2025-08-16 17:26:17,345 |     INFO | AIOS_Runtime_AIOS_20250816_172409_0485427a | task_manager::task_start | Started task: Loading: C:/dev/AIOS/evolution_lab/organism_5c3507b1.py | Context: {"task_id": "load_code", "dependencies": []}
