2025-08-16 17:48:44,319 |     INFO | AIOS_Runtime_AIOS_20250816_174844_47b01432 | runtime_intelligence::system_init | Runtime Intelligence System initialized | Context: {"session_id": "AIOS_20250816_174844_47b01432", "base_path": "c:\\dev\\AIOS", "start_time": "2025-08-16T17:48:44.284894"}
2025-08-16 17:48:45,718 |     INFO | AIOS_Runtime_AIOS_20250816_174844_47b01432 | quantum_consciousness_canvas::module_registration | Module quantum_consciousness_canvas registered for logging | Context: {"logging_mode": "full", "consciousness_tracking": true}
2025-08-16 17:48:45,718 |     INFO | AIOS_Runtime_AIOS_20250816_174844_47b01432 | quantum_consciousness_canvas::system_initialization | Quantum Consciousness Canvas initialized with universal logging | Context: {}
2025-08-16 17:48:45,747 |     INFO | AIOS_Runtime_AIOS_20250816_174844_47b01432 | quantum_consciousness_canvas::system_activation | Quantum consciousness substrate activated and ready for emergence experiments | Context: {"docked_modules": ["code_ingestor", "quantum_viz"], "floating_modules": [], "canvas_geometry": "1x1+50+50"}
2025-08-16 17:49:07,342 |     INFO | AIOS_Runtime_AIOS_20250816_174844_47b01432 | task_manager::task_start | Started task: Loading: C:/dev/AIOS/evolution_lab/artifacts/consciousness_text_analyzer_1751218592.py | Context: {"task_id": "load_code", "dependencies": []}
2025-08-16 17:49:07,342 |    DEBUG | AIOS_Runtime_AIOS_20250816_174844_47b01432 | task_manager::performance_metric | Performance metric active_tasks: 1 | Context: {}
2025-08-16 17:49:07,342 |     INFO | AIOS_Runtime_AIOS_20250816_174844_47b01432 | code_ingestor::code_loading_start | Starting code loading from: C:/dev/AIOS/evolution_lab/artifacts/consciousness_text_analyzer_1751218592.py | Context: {}
2025-08-16 17:49:07,342 |    DEBUG | AIOS_Runtime_AIOS_20250816_174844_47b01432 | code_ingestor::performance_metric | Performance metric filtered_files_count: 1 | Context: {}
2025-08-16 17:49:07,342 |    DEBUG | AIOS_Runtime_AIOS_20250816_174844_47b01432 | code_ingestor::file_filtering | Filtered 1 valid files from path | Context: {"source_path": "C:\\dev\\AIOS\\evolution_lab\\artifacts\\consciousness_text_analyzer_1751218592.py", "is_directory": false}
2025-08-16 17:49:07,405 |     INFO | AIOS_Runtime_AIOS_20250816_174844_47b01432 | code_ingestor::code_ingestion_complete | Successfully ingested 1 code files for consciousness analysis | Context: {"files_processed": 1, "source_path": "C:\\dev\\AIOS\\evolution_lab\\artifacts\\consciousness_text_analyzer_1751218592.py", "processing_time_seconds": 0.005}
2025-08-16 17:49:14,376 |    DEBUG | AIOS_Runtime_AIOS_20250816_174844_47b01432 | task_manager::task_dependency_wait | Task mutate_code waiting for dependencies | Context: {"dependencies": ["analyze_code"], "task_name": "Generating Consciousness Mutations"}
