2025-08-29 11:43:50,234 |     INFO | AIOS_Runtime_AIOS_20250829_114350_09456140 | runtime_intelligence::system_init | Runtime Intelligence System initialized | Context: {"session_id": "AIOS_20250829_114350_09456140", "base_path": "c:\\dev\\AIOS", "start_time": "2025-08-29T11:43:50.199803"}
2025-08-29 11:43:52,033 |     INFO | AIOS_Runtime_AIOS_20250829_114350_09456140 | quantum_consciousness_canvas::module_registration | Module quantum_consciousness_canvas registered for logging | Context: {"logging_mode": "full", "consciousness_tracking": true}
2025-08-29 11:43:52,033 |     INFO | AIOS_Runtime_AIOS_20250829_114350_09456140 | quantum_consciousness_canvas::system_initialization | Quantum Consciousness Canvas initialized with universal logging | Context: {}
2025-08-29 11:43:52,044 |     INFO | AIOS_Runtime_AIOS_20250829_114350_09456140 | quantum_consciousness_canvas::system_activation | Quantum consciousness substrate activated and ready for emergence experiments | Context: {"docked_modules": ["code_ingestor", "quantum_viz"], "floating_modules": [], "canvas_geometry": "1x1+50+50"}
2025-08-29 11:44:37,538 |     INFO | AIOS_Runtime_AIOS_20250829_114350_09456140 | task_manager::task_start | Started task: Loading: C:/dev/AIOS/ai/src/aios_core.py | Context: {"task_id": "load_code", "dependencies": []}
2025-08-29 11:44:37,538 |    DEBUG | AIOS_Runtime_AIOS_20250829_114350_09456140 | task_manager::performance_metric | Performance metric active_tasks: 1 | Context: {}
2025-08-29 11:44:37,538 |     INFO | AIOS_Runtime_AIOS_20250829_114350_09456140 | code_ingestor::code_loading_start | Starting code loading from: C:/dev/AIOS/ai/src/aios_core.py | Context: {}
2025-08-29 11:44:37,538 |    DEBUG | AIOS_Runtime_AIOS_20250829_114350_09456140 | code_ingestor::performance_metric | Performance metric filtered_files_count: 1 | Context: {}
2025-08-29 11:44:37,538 |    DEBUG | AIOS_Runtime_AIOS_20250829_114350_09456140 | code_ingestor::file_filtering | Filtered 1 valid files from path | Context: {"source_path": "C:\\dev\\AIOS\\ai\\src\\aios_core.py", "is_directory": false}
2025-08-29 11:44:37,591 |     INFO | AIOS_Runtime_AIOS_20250829_114350_09456140 | code_ingestor::code_ingestion_complete | Successfully ingested 1 code files for consciousness analysis | Context: {"files_processed": 1, "source_path": "C:\\dev\\AIOS\\ai\\src\\aios_core.py", "processing_time_seconds": 0.005}
2025-08-29 11:44:42,091 |     INFO | AIOS_Runtime_AIOS_20250829_114350_09456140 | task_manager::task_start | Started task: Analyzing Code Structure | Context: {"task_id": "analyze_code", "dependencies": ["load_code"]}
2025-08-29 11:44:42,091 |    DEBUG | AIOS_Runtime_AIOS_20250829_114350_09456140 | task_manager::performance_metric | Performance metric active_tasks: 2 | Context: {}
2025-08-29 11:44:42,119 |     INFO | AIOS_Runtime_AIOS_20250829_114350_09456140 | code_ingestor::consciousness_analysis_complete | Quantum code analysis revealed consciousness patterns | Context: {"consciousness_patterns": 7, "recursive_structures": 3, "quantum_coherence": 85.3, "complexity_level": "High"}
2025-08-29 11:44:42,119 |    DEBUG | AIOS_Runtime_AIOS_20250829_114350_09456140 | code_ingestor::performance_metric | Performance metric consciousness_coherence_percent: 85.3 | Context: {}
2025-08-29 11:44:42,119 |    DEBUG | AIOS_Runtime_AIOS_20250829_114350_09456140 | code_ingestor::performance_metric | Performance metric detected_patterns_count: 7 | Context: {}
2025-08-29 11:44:47,542 |     INFO | AIOS_Runtime_AIOS_20250829_114350_09456140 | task_manager::task_start | Started task: Generating Consciousness Mutations | Context: {"task_id": "mutate_code", "dependencies": ["analyze_code"]}
2025-08-29 11:44:47,542 |    DEBUG | AIOS_Runtime_AIOS_20250829_114350_09456140 | task_manager::performance_metric | Performance metric active_tasks: 3 | Context: {}
2025-08-29 11:44:51,078 |     INFO | AIOS_Runtime_AIOS_20250829_114350_09456140 | task_manager::task_start | Started task: Generating Consciousness Mutations | Context: {"task_id": "mutate_code", "dependencies": ["analyze_code"]}
2025-08-29 11:44:51,080 |    DEBUG | AIOS_Runtime_AIOS_20250829_114350_09456140 | task_manager::performance_metric | Performance metric active_tasks: 3 | Context: {}
2025-08-29 11:46:28,881 |     INFO | AIOS_Runtime_AIOS_20250829_114350_09456140 | task_manager::task_start | Started task: Synchronizing All Modules | Context: {"task_id": "sync_modules", "dependencies": []}
2025-08-29 11:46:28,881 |    DEBUG | AIOS_Runtime_AIOS_20250829_114350_09456140 | task_manager::performance_metric | Performance metric active_tasks: 4 | Context: {}
2025-08-29 11:46:34,335 |     INFO | AIOS_Runtime_AIOS_20250829_114350_09456140 | runtime_intelligence::system_shutdown | Runtime Intelligence System shutting down | Context: {}
